Spell Name,School,Casting Time,Range,Duration,Components,Level
Blade Ward,Abjuration,1 Action,Self,1 round,"V, S",0
Dancing Lights,Evocation,1 Action,120 feet,Concentration up to 1 minute,"V, S, M",0
Friends,Enchantment,1 Action,Self,"Concentration, up to 1 minute","S, M",0
Light,Evocation,1 Action,Touch,1 hour,"V, M",0
Mage Hand,Conjuration,1 Action,30 feet,1 minute,"V, S",0
Mending,Transmutation,1 Minute,Touch,Instantaneous,"V, S, M",0
Message,Transmutation,1 Action,120 feet,1 round,"V, S, M",0
Minor Illusion,Illusion,1 Action,30 feet,1 minute,"S, M",0
Prestidigitation,Transmutation,1 Action,10 feet,Up to 1 hour,"V, S",0
Thunderclap,Evocation,1 Action,Self (5-foot radius),Instantaneous,S,0
True Strike,Divination,1 Action,30 feet,Concentration up to 1 round,S,0
Vicious Mockery,Enchantment,1 Action,60 feet,Instantaneous,V,0
Animal Friendship,Enchantment,1 Action,30 feet,24 hours,"V, S, M",1
Bane,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M",1
Charm Person,Enchantment,1 Action,30 feet,1 hour,"V, S",1
Color Spray,Illusion,1 Action,Self (15-foot cone),1 round,"V, S, M",1
Command,Enchantment,1 Action,60 feet,1 round,V,1
Comprehend Languages,Divination,1 Action R,Self,1 hour,"V, S, M",1
Cure Wounds,Evocation,1 Action,Touch,Instantaneous,"V, S",1
Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S",1
Disguise Self,Illusion,1 Action,Self,1 hour,"V, S",1
Dissonant Whispers,Enchantment,1 Action,60 feet,Instantaneous,V,1
Distort Value,Illusion,1 Minute,Touch,8 hours,V,1
Earth Tremor,Evocation,1 Action,Self (10-foot radius),Instantaneous,"V, S",1
Faerie Fire,Evocation,1 Action,60 feet,"Concentration, up to 1 minute",V,1
Feather Fall,Transmutation,1 Reaction,60 feet,1 minute,"V, M",1
Guiding Hand (UA),Divination,1 Minute R,5 feet,"Concentration, up to 8 hours","V, S",1
Healing Word,Evocation,1 Bonus Action,60 feet,Instantaneous,V,1
Heroism,Enchantment,1 Action,Touch,"Concentration, up to 1 minute","V, S",1
Identify,Divination,1 Minute R,Touch,Instantaneous,"V, S, M",1
Illusory Script,Illusion,1 Minute R,Touch,10 days,"S, M",1
Longstrider,Transmutation,1 Action,Touch,1 hour,"V, S, M",1
Puppet (UA),Enchantment,1 Action,120 feet,Instantaneous,V,1
Sense Emotion (UA),Divination,1 Action,Self,"Concentration, up to 1 minute","V, S",1
Silent Image,Illusion,1 Action,60 feet,"Concentration, up to 10 minutes","V, S, M",1
Silvery Barbs,Enchantment,1 Reaction,60 feet,Instantaneous,V,1
Sleep,Enchantment,1 Action,90 feet,1 minute,"V, S, M",1
Speak with Animals,Divination,1 Action R,Self,10 minutes,"V, S",1
Sudden Awakening (UA),Enchantment,1 Bonus Action,10 feet,Instantaneous,V,1
Tasha's Hideous Laughter,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M",1
Thunderwave,Evocation,1 Action,Self (15-foot cube),Instantaneous,"V, S",1
Unearthly Chorus (UA),Illusion,1 Action,Self (30-foot radius),"Concentration, up to 10 minutes",V,1
Unseen Servant,Conjuration,1 Action R,60 feet,1 hour,"V, S, M",1
Aid,Abjuration,1 Action,30 Feet,8 hours,"V, S, M",2
Animal Messenger,Enchantment,1 Action R,30 Feet,24 hours,"V, S, M",2
Blindness/Deafness,Necromancy,1 Action,30 Feet,1 minute,V,2
